query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
T shirts,211,0.09%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Crocs,200,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Pant,200,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Squid game,199,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Jeans for women,195,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Baggy,192,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Caps,191,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Women,186,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Acid wash,186,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Coffee,185,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Deadpool,182,0.08%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Nasa,178,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Panda,178,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Bra,177,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Black shirt,176,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.3 Product + Color
Lowers,176,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Socks,174,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Goku,173,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Hoodie for men,172,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Iron man,170,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Tshirt for women,169,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Slides,168,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Sando,168,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Loki,168,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
F1,168,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Boxers,166,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Jacket for men,164,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Trousers,163,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Shoe,162,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Game of thrones,159,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Track pants,158,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
shirt,158,0.07%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Men shirt,156,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Friends,155,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Cargo pants,154,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Oversized tshirt,153,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.4 Product + Style
Jeans men,153,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Shirts men,148,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Lower for men,147,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Dresses,146,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Linen,146,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
White tshirt,145,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.3 Product + Color
Backpack,144,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Joggers for men,144,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Hoddie,143,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
T shirt men,143,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
White,142,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
